name,image_url,calories,fat,carbs,description,prep_time,cook_time,instructions,protein,id
Strawberry Applesauce,https://images.eatthismuch.com/img/341864_erin_m_1e07c367-afbe-4765-9d80-259bd6660ed0.png,249,1g,65g,"1 serving of strawberry applesauce  contains 249 Calories. The macronutrient
  breakdown is 94% carbs, 3% fat, and 3% protein.  This is a good source of fiber (44% of your Daily Value), potassium (14% of your Daily Value), and vitamin c (114% of your Daily Value).",20 minutes,30 minutes,"Directions Core each apple (do not peel!) and cut into about 6 pieces. Add the apples and strawberries to a large pot. Add about 1/2"" of water. Bring to a boil, cover, and simmer for about 30 minutes. Check about halfway through to make sure there's a little liquid on the bottom of the pot (to ensure that they don't stick). The apples should be very soft now. If they aren't, simmer in 5-minute increments until they are.Remove from the heat and let cool for about 20 minutes and then use an immersion blender to puree the applesauce. You can also use a blender or food processor but an immersion blender is quickest, easiest and the least messy.Cool completely and refrigerate in an airtight container for up to 4 days. Freeze any remaining applesauce after that.",2,394
Roasted Fennel and Baby Carrots,https://images.eatthismuch.com/img/56955_simmyras_8c19dd38-5d41-418b-b7c5-7461c79a850a.png,114,7g,13g,"1 serving of roasted fennel and baby carrots  contains 114 Calories. The macronutrient
  breakdown is 42% carbs, 53% fat, and 5% protein.  This is a good source of fiber (18% of your Daily Value), potassium (11% of your Daily Value), and vitamin a (67% of your Daily Value).",10 minutes,30 minutes,"Directions Peel and trim baby carrots leaving 1/2-inch of stems intact. Remove fennel stalks and discard. Cut fennel bulbs into 1/2-inch thick wedges. Put oven racks in upper and lower thirds of oven and preheat oven to 450F. (If you are making just this dish, you can put oven rack in middle position and roast vegetables on that rack throughout.)Toss carrots and fennel with olive oil, water, fennel seeds, salt, and pepper and arrange in 1 layer in a 17- by 11-inch shallow baking pan. Cover pan with foil and roast vegetables in lower third of oven 10 minutes, then uncover and roast, turning occasionally, 10 minutes more. Switch pan to upper third of oven and roast until vegetables are tender and browned, about 10 minutes more.",2,395
Creamy Avocado Chicken Pasta,https://images.eatthismuch.com/img/339266_lastlegwarrior350_28b1cb61-a66d-4970-8f30-e964efc4e7f5.png,706,38g,72g,"1 serving of creamy avocado chicken pasta  contains 706 Calories. The macronutrient
  breakdown is 38% carbs, 45% fat, and 17% protein.  This is a good source of protein (57% of your Daily Value), fiber (59% of your Daily Value), and potassium (31% of your Daily Value).",12 minutes,25 minutes,"Directions Remove the pits from two large avocados.Pulse-blend the avocados, Greek yogurt, garlic, basil, and juice from 1 lemon. Once blended and the texture is smooth, add salt and pepper to taste.Boil the pasta as per package directions and set aside.Season chicken with italian seasoning, salt, and pepper on each side. Heat a non-stick skillet over medium-high heat and coat wtih oil. Once hot add the chicken breast and cook for 5-7 minutes per side or until cooked through and no longer pink.Mix 1/3 of the avocado pasta sauce with the pasta, and then top with grilled chicken breast. Enjoy!",32,396
Carrot Ginger Soup,https://images.eatthismuch.com/img/282254_barbarafurst_f88f144b-3509-4c7d-8304-98ac82451519.png,264,7g,45g,"1 serving of carrot ginger soup  contains 264 Calories. The macronutrient
  breakdown is 65% carbs, 24% fat, and 10% protein.  This is a good source of fiber (33% of your Daily Value), potassium (24% of your Daily Value), and vitamin a (249% of your Daily Value).",15 minutes,45 minutes,"Directions Heat oil in a sauce pot over medium heat. 

Add onions and sauté until they become translucent.
Add ginger and sauté for another minute.
Add chopped carrots, sweet potato, and vegetable broth and bring to a boil.
Reduce heat to low and simmer for about 30 minutes.
Purée soup with an immersion blender or in batches in a traditional blender. Season to taste with salt and pepper and serve.",7,397
Chicken and Chorizo Paella,https://images.eatthismuch.com/img/227874_ivanello_8d02dcb4-6c5d-4e54-aa53-2b6f7009282c.png,688,22g,62g,"1 serving of chicken and chorizo paella  contains 688 Calories. The macronutrient
  breakdown is 38% carbs, 30% fat, and 32% protein.  This is a good source of protein (94% of your Daily Value), potassium (23% of your Daily Value), and iron (66% of your Daily Value).",15 minutes,70 minutes,"Directions Heat the oil in a large cast iron dutch oven over medium-high heat and brown the chicken pieces on all sides; you may have to do this in batches. Remove from the dutch oven and put to one side.Lower the heat, add the onion and pepper, and gently cook for 10 minutes until softened. Add the garlic and chorizo, and cook for a further 2 minutes until the chorizo has released some of its oils into the dish. Stir in the tomato purée and cook for 1 miuten more.Return the chicken pieces to the dish along with the thyme, white wine, and stock. Bring the liquid to a boil, cover the dish with a tight-fitting lid and lower the heat. Cook for 30 minutes.Tip in the rice and stir everything together. Cover, set over a low heat and cook for a further 15 mins, or until the rice is cooked and has absorbed most of the cooking liquid. Remove from the heat and leave the dish to sit for 10 mins to absorb any remaining liquid. Season to taste and garnish with parsley to serve.",53,398
Sweet and Salty Polenta,https://images.eatthismuch.com/img/258495_wehr0034_ecf98ce0-41ed-45ef-a419-5dcc4b4345a7.png,188,2g,37g,"1 serving of sweet and salty polenta  contains 188 Calories. The macronutrient
  breakdown is 82% carbs, 12% fat, and 7% protein.  This is a good source of calcium (19% of your Daily Value).",5 minutes,20 minutes,"Directions Combine polenta, almond milk, and water in a pot and cook over medium/low heat, stirring often, until tender; 15-20 minutes.Add salt, to taste.Drizzle with maple syrup and eat.",3,399
Pecan Crusted Honey-Mustard Salmon,https://images.eatthismuch.com/img/263376_Shane2208_7d148323-281c-4230-875e-ef53d7236ee9.png,792,45g,14g,"1 serving of pecan crusted honey-mustard salmon  contains 792 Calories. The macronutrient
  breakdown is 7% carbs, 52% fat, and 41% protein.  This is a good source of protein (144% of your Daily Value), potassium (43% of your Daily Value), and iron (50% of your Daily Value).",10 minutes,20 minutes,"Directions Preheat oven to 400 degrees F.In a small bowl, mix melted coconut oil, mustard, and honey.In another small bowl, mix bread crumbs, pecans, and parsley.Place salmon filets on a foil covered baking sheet. Season salmon with salt and pepper and pour the honey mixture over the tops. Sprinkle with the bread crumb mixture.Bake salmon until it flakes easily with a fork, about 20 minutes. Enjoy!",81,400
Roasted Fingerling Potatoes with Chive Pesto,https://images.eatthismuch.com/images/recipe_image_placeholder.jpg,304,21g,26g,"1 serving of roasted fingerling potatoes with chive pesto  contains 304 Calories. The macronutrient
  breakdown is 33% carbs, 62% fat, and 5% protein.  This is a good source of potassium (14% of your Daily Value), vitamin b6 (32% of your Daily Value), and vitamin c (42% of your Daily Value).",35 minutes,35 minutes,"Directions Coarsely chop parsley. Cut potatoes in half lengthwise.Preheat oven to 425F. In a medium bowl, toss potatoes with 1 tablespoon oil to coat; season generously with salt and pepper. Spread potato halves in a single layer on a rimmed baking sheet. Roast potatoes, turning occasionally, until tender and golden brown,25-30 minutes.Meanwhile, combine 1/2 cup chives, parsley, almonds, and garlic in a processor. Pulse until finely chopped. With machine running, gradually add remaining oil through feed tube and process until incorporated. Transfer chive pesto to a small bowl. Stir in lemon juice, then 2 tablespoons water. Season pesto with salt and pepper.Transfer potatoes to a platter. Drizzle with half of pesto; sprinkle with additional chopped chives. Serve with remaining pesto.",4,401
Buffalo Cauliflower Quinoa Balls,https://images.eatthismuch.com/img/377681_erin_m_932f095e-c8b3-4024-a758-12f5eae85b31.png,337,9g,53g,"1 serving of buffalo cauliflower quinoa balls  contains 337 Calories. The macronutrient
  breakdown is 61% carbs, 25% fat, and 14% protein.  This is a good source of protein (22% of your Daily Value), fiber (27% of your Daily Value), and potassium (17% of your Daily Value).",15 minutes,30 minutes,"Directions Preheat oven to 375°.Cook quinoa with water over stovetop according to package instructions; simultaneously, steam chopped cauliflower in a separate pot with some water.Prepare the buffalo sauce by melting butter and stirring in hot sauce, garlic powder, and chili powder; set aside.Pulse HALF the cooked cauliflower with garlic in a food processor for 5-10 seconds, then repeat with the second half; combine in a bowl.Mix quinoa, breadcrumbs, oregano, and HALF the buffalo sauce with cauliflower; refrigerate for 10-15 minutes.Form the mixture into golf ball-sized balls and cook in a skillet with olive oil until golden brown on all sides.Drizzle remaining buffalo sauce over meatballs, ensuring they are covered but not soaked.Bake meatballs on a baking sheet for 15 minutes at 375°.",12,402
Peanut Butter Oatmeal and Berries,https://images.eatthismuch.com/img/371777_DominikStodolny_33da6007-eeba-4150-961a-3cadcf1e0067.png,605,20g,100g,"1 serving of peanut butter oatmeal and berries  contains 605 Calories. The macronutrient
  breakdown is 62% carbs, 28% fat, and 10% protein.  This is a good source of protein (28% of your Daily Value), fiber (79% of your Daily Value), and potassium (27% of your Daily Value).",5 minutes,10 minutes,Directions Cook everything except berries for 8 minutes in a pan over medium heat until oats are tender.Add berries to the bowl and mix well. Enjoy!,16,403
Fennel Soup,https://images.eatthismuch.com/img/36695_Shamarie84_009b44ee-f12b-4dbb-8347-6db295b10e85.png,208,12g,23g,"1 serving of fennel soup  contains 208 Calories. The macronutrient
  breakdown is 41% carbs, 49% fat, and 10% protein.  This is a good source of fiber (32% of your Daily Value), potassium (27% of your Daily Value), and vitamin a (26% of your Daily Value).",7 minutes,25 minutes,"Directions Melt the butter in a large skillet over medium heat. Add the quartered fennel bulbs; cook and stir until golden brown, about 10 minutes. Pour in the broth, and simmer until fennel is tender, about 15 more minutes. Ladle into soup bowls, and season with salt and pepper.",6,404
Bulgar Salad with Grilled Chicken and Parsley Pesto,https://images.eatthismuch.com/images/recipe_image_placeholder.jpg,795,52g,46g,"1 serving of bulgar salad with grilled chicken and parsley pesto  contains 795 Calories. The macronutrient
  breakdown is 22% carbs, 57% fat, and 21% protein.  This is a good source of protein (77% of your Daily Value), fiber (40% of your Daily Value), and potassium (24% of your Daily Value).",30 minutes,45 minutes,"Directions Sliver, toast & cool almonds. Chop shallots coarsely. Halve & pit apricots.Place 3 cups water and bulgur in medium
saucepan; sprinkle with salt. Bring to
boil. Cover, reduce heat to medium-low,
and simmer until bulgur is tender but still
slightly chewy, stirring occasionally, 11 to 12
minutes. Drain. Rinse under cold water until
cool. Drain well. Transfer to large bowl.Meanwhile, place parsley, almonds,
shallots, and 1 1/2 tablespoons lemon juice in
processor. Using on/off turns, process until
parsley is coarsely chopped. With machine
running, gradually add 1/2 cup oil and process
to coarse puree. Season pesto to taste with
salt and pepper.Stir 3/4 cup pesto and remaining 1
tablespoon lemon juice into drained bulgur.
Season to taste with salt and pepper and
additional lemon juice, if desired.
Prepare barbecue (medium heat).
Brush chicken and apricot halves with oil.Sprinkle with salt and pepper. Grill chicken
and apricot halves until chicken is cooked
through and apricots are slightly charred,
7 to 8 minutes per side for chicken and 2
minutes per side for apricots.Line 4 plates with lettuce leaves. Divide
bulgur salad among plates. Place 1 grilled
chicken breast on each plate. Spoon dollop
of pesto atop chicken. Divide apricot halves
among plates and serve.",43,405
Spicy Napa Cabbage Slaw with Cilantro Dressing,https://images.eatthismuch.com/img/3262062_elm333_ec910987-e47c-4794-a3eb-55b39d25445d.jpg,126,7g,14g,"1 serving of spicy napa cabbage slaw with cilantro dressing  contains 126 Calories. The macronutrient
  breakdown is 43% carbs, 49% fat, and 8% protein.  This is a good source of fiber (18% of your Daily Value), potassium (8% of your Daily Value), and vitamin c (78% of your Daily Value).",15 minutes,25 minutes,"Directions Coarsely chop cilantro. Finely chop pepper. Core and cut cabbage crosswise into 1/2-inch slices.Whisk together vinegar, sugar, ginger, oil, chile, and 1/2 teaspoon salt. Add remaining ingredients and toss well. Let stand, tossing occasionally, 10 minutes.",3,406
Zesty Chicken Cobb Salad,https://images.eatthismuch.com/img/328472_hirschkron_9c97b6e0-431e-489c-b808-7ece71c22467.png,1180,93g,26g,"1 serving of zesty chicken cobb salad  contains 1180 Calories. The macronutrient
  breakdown is 9% carbs, 70% fat, and 21% protein.  This is a good source of protein (111% of your Daily Value), fiber (47% of your Daily Value), and potassium (43% of your Daily Value).",15 minutes,30 minutes,"Directions Place eggs in a pan and cover with water. Bring to a boil, cover, remove from heat, and let rest 10 minutes. Drain, rinse, peel, and set aside.Slice strips of bacon into 1-inch pieces. Aggressively season chicken breast on both sides with salt and pepper.Over medium-high heat, cook bacon until desired crispness. Remove from the pan and strain over a paper towel. Drain excess fat .Cook the chicken breast for 7 minutes on each side, or until internal temperature reaches 165 degrees F.In a bowl, whisk together shallots, apple cider vinegar, dijon mustard, salt and pepper. Slowly drizzle in the olive oil until emulsified.Chop romaine into bite size pieces and dice chicken into cubes.In a serving bowl, add a bed of romaine lettuce. In lines across the bowl, place chicken, blue cheese, bacon pieces, avocado, egg, and tomatoes. Drizzle the dressing over the top.Recipe inspired by: https://www.buzzfeed.com/clairenolan/try-this-zesty-chicken-cobb-salad-for-lunch-next-week?b=1&utm_term=.qqq6Yd1Y6#.lkkkAZMAk",62,407
Aloo Tikki,https://images.eatthismuch.com/img/312371_amusedmonkey_37286627-4e9b-4b70-8690-9d3d100527bd.png,288,5g,54g,"2 pieces of aloo tikki  contains 288 Calories. The macronutrient
  breakdown is 74% carbs, 16% fat, and 10% protein.  This is a good source of fiber (24% of your Daily Value), potassium (24% of your Daily Value), and vitamin b6 (58% of your Daily Value).",15 minutes,20 minutes,"Directions Boil potatoes in pressure cooker or in a pan until soft. Peel and mash them. Boil peas in boiling water for 5 minutes. Drain water and transfer them to a small bowl.Take mashed potatoes in another bowl. Add boiled peas, 4 tablespoons breadcrumbs, cornstarch, grated ginger, coriander leaves, finely chopped green chilli, garam masala powder, red chilli powder, lemon juice, sugar, and salt.Mix them to prepare smooth dough like mixture. Divide mixture into 12 equal portions and roll them into small size balls.Take one ball and gently press it between your palms and make a round shaped 1/2-inch thick patty. Take 4 tablespoons breadcrumbs in a plate. Coat prepared pattie with breadcrumbs on all sides by rolling it in breadcrumbs filled plate.Heat non-stick flat pan (tawa) or griddle to shallow fry patties. When pan or griddle is hot enough, drizzle 2-3 teaspoons oil over it. Put 3-4 patties over oil and cook until bottom surface turn golden brown.Flip each pattie up side down, drizzle some oil around its edge and cook until second side also turns golden brown. Based on the size of your pan, you can shallow fry more than 3-4 tikkis at a time.Transfer prepared tikkis to a plate and serve.Recipe inspired by: http://foodviva.com/snacks-recipes/spicy-aloo-tikki-recipe/",7,408
"Paleo ""Cocoa Puffs""",https://images.eatthismuch.com/img/277190_markbisaha_b97cfd22-f722-4169-bc1b-6d8a46d2ae9a.png,198,13g,18g,"1 bowl of paleo ""cocoa puffs""  contains 198 Calories. The macronutrient
  breakdown is 33% carbs, 55% fat, and 11% protein.  This has a relatively high calorie density, with 425 Calories per 100g.",15 minutes,12 minutes,"Directions Preheat oven to 350 degrees F.Add the almond meal, melted coconut oil, sea salt, coconut flour, egg white, honey, and cocoa power to a bowl and mix with a spoon until you have a dough.Place the dough onto a piece of parchment paper. Place a second piece of parchment paper over the top and roll it until it is ¼” thick. With a wet knife, score it into 1” squares. Place the parchment paper on a baking sheet when finished.Bake for 8 to 12 minutes. Remove and cool on the pan.Top with your favorite mix-ins, eg, berries, bananas, etc. Enjoy!",6,409
"Frittata with Spinach, Potatoes, and Leeks",https://images.eatthismuch.com/img/296173_tonyjuliano_39c0db1c-32a3-4d95-8b56-4461aba83e20.png,273,12g,25g,"1 serving of frittata with spinach, potatoes, and leeks  contains 273 Calories. The macronutrient
  breakdown is 36% carbs, 38% fat, and 26% protein.  This is a good source of protein (32% of your Daily Value), potassium (21% of your Daily Value), and calcium (29% of your Daily Value).",15 minutes,30 minutes,"Directions Preheat oven to 350 degrees F.Melt butter in a Dutch oven over medium heat. Add leek; sauté 4 minutes. Add spinach; sauté 2 minutes or until spinach wilts. Place mixture in a colander, pressing until barely moist.Combine milk, basil, salt, pepper, eggs, stir well with a whisk. Add leek mixture and potato. Pour into a 10-inch round ceramic baking dish or pie plate coated with cooking spray. Sprinkle with breadcrumbs and top with cheese. Bake for 25 minutes or until center is set.Preheat broiler.Broil frittata 4 minutes or until golden brown. Cut into wedges.Recipe inspired by: http://www.cookinglight.com/food/vegetarian/vegetarian-egg-recipes/frittata-spinach-potatoes-leeks-vegetarian-recipe",18,410
Slow Cooker Minestrone Soup,https://images.eatthismuch.com/img/292211_amusedmonkey_455f5a36-7985-47cf-84fc-f5ca50c20ddb.png,385,4g,76g,"2 cups of slow cooker minestrone soup  contains 385 Calories. The macronutrient
  breakdown is 75% carbs, 8% fat, and 17% protein.  This is a good source of protein (31% of your Daily Value), fiber (32% of your Daily Value), and potassium (27% of your Daily Value).",15 minutes,360 minutes,"Directions In a microwave safe bowl, add onions, carrots and celery. Cook for 3 minutes to soften.Add to a slow cooker the onions, carrots, celery, garlic, broth, pasta sauce, beans, drained tomatoes, bay leaves, seasonings, and pepper. Mix well. Cover and cook on LOW heat a total of 6 to 7 hours or cook on HIGH heat a total of  3-3½ hours. Time varies depending on your slow-cooker.Meanwhie, prepare pasta as per package directions; set aside.Note: One hour before the soup is done, add zucchini. Cover and cook on high heat for the last hour. Or, cooked chopped zucchini in microwave for 2-3 minutes and add to soup with cooked pasta and spinach and continue to cook 10 minutes. Remove bay leaves. Adjust seasonings, if desired.To serve: Add 2 cups of soup to each bowl and top with grated parmesan cheese , if desired.Makes 12 cups total. Each serving, 2 cupsRecipe inspired by: http://www.skinnykitchen.com/recipes/crock-pot-hearty-minestrone-soup/",17,411
Cheesy Cauliflower Biscuits,https://images.eatthismuch.com/img/285058_Mscree01_ef22548e-17af-47b2-8953-33689994c134.png,52,3g,3g,"2 Biscuits of cheesy cauliflower biscuits  contains 52 Calories. The macronutrient
  breakdown is 24% carbs, 42% fat, and 34% protein.  This is a good source of vitamin c (27% of your Daily Value).",15 minutes,37 minutes,"Directions Preheat the oven to 400 degrees F.

Boil water in a pan with a steam tray. Add cauliflower and cover. Steam cauliflower for about 10-12 minutes or until very tender, then transfer to a food processor. Add minced garlic and pulse several times until smooth and creamy.


Transfer mashed cauliflower into a large mixing bowl. Add in two whole eggs, cheddar cheese, nonfat Greek yogurt, salt, and pepper, and mix together.

In a separate bowl, beat egg whites until stiff. Then, slowly fold the egg whites into the cauliflower mixture.

Coat a mini muffin pan with cooking spray of your choice. Then fill the cups to the top with the cauliflower mixture. Bake for 20-25 minutes, until golden brown.

Remove from the pan, and set on a cooling rack.",5,412
Hawaiian Pineapple Egg Scramble,https://images.eatthismuch.com/img/284189_bbebber_72c35feb-ae06-4de0-af2a-53395ca2964a.png,596,36g,19g,"1 serving of hawaiian pineapple egg scramble  contains 596 Calories. The macronutrient
  breakdown is 13% carbs, 55% fat, and 32% protein.  This is a good source of protein (85% of your Daily Value), potassium (11% of your Daily Value), and calcium (50% of your Daily Value).",5 minutes,12 minutes,Directions Heat oil in a pan over medium heat. Add chopped ham to the pan and cook until it begins to brown. Remove from pan. Add pineapple and cook until it begins to brown. Remove from pan.Mix egg with egg whites and cook on heated skillet. Return ham and pineapple to the skillet. Add cheese. Cover and cook until cheese has melted and eggs are cooked to desired doneness.Enjoy!,48,413
Poached Eggs Alla Pizzaiola,https://images.eatthismuch.com/img/312323_amusedmonkey_51e6d75b-78ac-493b-8761-2e69242ad77b.png,325,19g,22g,"1 serving of poached eggs alla pizzaiola (http://www.skinnykitchen.com/recipes/skinny-poached-eggs-alla-pizzaiola/) contains 325 Calories. The macronutrient
  breakdown is 27% carbs, 51% fat, and 23% protein.  This is a good source of protein (34% of your Daily Value), fiber (15% of your Daily Value), and potassium (23% of your Daily Value).",10 minutes,12 minutes,"Directions Cook onions and red bell peppers in microwave for about 1 minute, to soften.In a medium non-stick pan heat butter over medium heat, add cooked onions/peppers and garlic; sauté for 1 minute. Stir often. Mix in oregano, salt, black pepper, and a small pinch of red pepper flakes. Stir in tomato sauce and simmer 5 minutes. Stir often. Gently drop in eggs. Be sure to keep the yolks in tact. Cover and simmer on medium-low heat for about 6-8 minutes, until the eggs whites are cooked through and the yolks are cooked to your liking.To serve: Using a spatula, remove 2 eggs to each plate and add tomato sauce around it. Sprinkle each serving with 1 tablespoon Parmesan cheese. Enjoy!",19,414
Dill Chicken Paillards with Tomato-Dill Relish,https://images.eatthismuch.com/img/45376_simmyras_92b03bc2-6fdf-4c88-9d97-1f8043baa9ac.png,284,17g,5g,"1 serving of dill chicken paillards with tomato-dill relish  contains 284 Calories. The macronutrient
  breakdown is 7% carbs, 54% fat, and 39% protein.  This is a good source of protein (49% of your Daily Value), potassium (13% of your Daily Value), and vitamin b6 (81% of your Daily Value).",15 minutes,30 minutes,"Directions Finely chop dill and shallots. Cut cherry tomatoes into quarters.Prepare grill for direct-heat cooking over hot charcoal (medium-high heat for gas).Pound chicken breasts 1/4 inch thick between 2 sheets of plastic wrap with flat side of a meat pounder or with 
a rolling pin.Whisk together oil, dill, shallot, mustard, and vinegar in a large bowl. Set aside 1/4 cup. Sprinkle chicken evenly with 1 teaspoon salt and 1/2 teaspoon pepper, then add to dill mixture, turning to coat.Toss tomatoes with reserved dill mixture and 1/4 teaspoon each of salt and pepper.Grill chicken, turning once, until just cooked through, 3 to 4 minutes total. Serve topped with relish.",28,415
Parsleyed Potatoes with Saffron,https://images.eatthismuch.com/img/45276_simmyras_37f8b6f7-3d69-4931-9eea-6fd0f997d203.png,707,7g,149g,"1 serving of parsleyed potatoes with saffron  contains 707 Calories. The macronutrient
  breakdown is 82% carbs, 9% fat, and 10% protein.  This is a good source of protein (32% of your Daily Value), fiber (57% of your Daily Value), and potassium (91% of your Daily Value).",15 minutes,35 minutes,"Directions Peel and steam potatoes in a steamer rack, covered, over boiling water until tender, 18 to 20 minutes.Melt butter with saffron in a medium skillet over medium heat until it foams, then add potatoes, chopped parsley, 1/4 teaspoon salt, and 1/8 teaspoon pepper. Cook, shaking skillet to coat potatoes well, until heated through, about 1 minute.",18,416
Simple Pasta Salad,https://images.eatthismuch.com/images/recipe_image_placeholder.jpg,128,1g,27g,"1 serving of simple pasta salad  contains 128 Calories. The macronutrient
  breakdown is 79% carbs, 4% fat, and 17% protein.  This has a moderate calorie density, with 160 Calories per 100g.",5 minutes,20 minutes,"Directions Boil water for noodles. Peel garlic cloves and put in boiling water with the noodles. When noodles are done, drain and separate garlic. Chop up garlic and add to noodles. Add can of tomatoes, kidney beans, and Italian dressing. Season with salt to taste. Serve and enjoy!",6,417
Cranberry Quinoa Salad,https://images.eatthismuch.com/img/412992_Yesso1966_27b1b15a-c24f-43e7-8be4-43febab2ef87.png,280,7g,47g,"1 serving of cranberry quinoa salad  contains 280 Calories. The macronutrient
  breakdown is 65% carbs, 23% fat, and 12% protein.  This is a good source of protein (15% of your Daily Value), fiber (24% of your Daily Value), and potassium (10% of your Daily Value).",5 minutes,15 minutes,"Directions Pour the water in a large saucepan.  Cover with a tight fitting lid, and place over high heat.  Once water starts to boil, pour in the quinoa, reduce heat to low, and cover. Simmer until the water has been absorbed, about 15 – 20 minutes. Transfer the quinoa to a large mixing bowl and place in the refrigerator until cold.Once the quinoa is chilled, stir in the bell peppers, red onion, curry powder, cilantro, lime juice, sliced almonds, carrots, cranberries, salt, and pepper.",9,418
Baked Garlic Pork Chop,https://images.eatthismuch.com/img/3250866_tabitharwheeler_cf5e7b89-9215-40ff-b846-e60737ce92aa.jpg,423,21g,11g,"1 serving of baked garlic pork chop  contains 423 Calories. The macronutrient
  breakdown is 11% carbs, 47% fat, and 42% protein.  This is a good source of protein (76% of your Daily Value), potassium (21% of your Daily Value), and iron (46% of your Daily Value).",10 minutes,30 minutes,"Directions Preheat oven to 375 degrees F.Season the pork chops with salt and pepper and place in a casserole dish.Add in the oil, bay leaves, garlic, lemon juice, and the white wine; rub into the meat.Let it rest for 10-15 minutes.Bake the meat with the the juices until fully cooked and internal temperature has reach 155 degrees F; approximately 30 minutes.Serve and enjoy!",42,419
Kentucky Chili,https://images.eatthismuch.com/img/210950_FierceSappho_efcdad76-fcc4-44a5-8f32-34efa3e812ec.png,540,18g,73g,"1 serving of kentucky chili (tur) contains 540 Calories. The macronutrient
  breakdown is 51% carbs, 28% fat, and 22% protein.  This is a good source of protein (56% of your Daily Value), fiber (58% of your Daily Value), and potassium (35% of your Daily Value).",15 minutes,30 minutes,Directions Brown ground turkey in a skillet over medium heat. Add diced onion and cook until transparent. Drain.Cook spaghetti as per package directions; drain and set aside.Add all ingredients in a large pot. Salt to taste. Cook over medium heat until simmering and evenly heated through.Enjoy!,31,420
Gluten-Free Pumpkin Pancakes,https://images.eatthismuch.com/img/255054_erin_m_afaeb0e9-441d-4138-9054-bdbfda7fdc9e.png,260,9g,37g,"1 serving of gluten-free pumpkin pancakes  contains 260 Calories. The macronutrient
  breakdown is 56% carbs, 31% fat, and 13% protein.  This is a good source of protein (16% of your Daily Value), fiber (16% of your Daily Value), and potassium (12% of your Daily Value).",5 minutes,10 minutes,"Directions In a large bowl, whisk the oat flour, baking powder, baking soda and salt. Add the remaining pancake ingredients and whisk until just combined and smooth. The batter will thicken slightly while you wait for the griddle pan to heat up. Heat a griddle pan or a cast iron skillet over medium heat and grease with oil. Pour the batter into a liquid measuring cup, then pour about ¼ cup's worth for one pancake. Wait until some bubbles start to form on top. Allow to cook for 2 more minutes and then flip the pancakes over. Cook for about 3 more minutes until batter is cooked through. Serve pancakes hot.",9,421
Sausage Gravy and Biscuits,https://images.eatthismuch.com/img/979414_LoveMoonshadow_d993ea24-6744-455f-9192-8740cfe60769.jpg,226,13g,16g,"1 serving of sausage gravy and biscuits  contains 226 Calories. The macronutrient
  breakdown is 28% carbs, 52% fat, and 21% protein.  This is a good source of protein (21% of your Daily Value).",12 minutes,25 minutes,"Directions Prepare biscuits as per package directions.Meanwhile, tear small pieces of sausage and add them in a single layer to a large heavy skillet. Brown the sausage over medium-high heat until no longer pink. Reduce the heat to medium-low. Sprinkle on half the flour and stir so that the sausage soaks it all up, then add more little by little. Stir it around and cook it for another minute or so, then pour in the milk, stirring constantly.Cook the gravy, stirring frequently, until it thickens. (This may take a good 10 to 12 minutes.) Sprinkle in the seasoned salt and pepper and continue cooking until very thick and luscious. If it gets too thick too soon, just splash in another 1/2 cup of milk or more if needed. Taste and adjust the seasoning with salt and pepper.Spoon the sausage gravy over the warm biscuits and serve immediately. Enjoy!",12,422
Strawberry Spinach Green Smoothie,https://images.eatthismuch.com/img/299569_kgines_2c0f6b14-809b-4e4f-a6c7-0723eba92913.png,149,1g,37g,"1 serving of strawberry spinach green smoothie  contains 149 Calories. The macronutrient
  breakdown is 89% carbs, 4% fat, and 7% protein.  This is a good source of fiber (21% of your Daily Value), potassium (17% of your Daily Value), and vitamin a (27% of your Daily Value).",5 minutes,5 minutes,Directions Combine all ingredients in a blender and pulse until smooth. Enjoy!,3,423
Italian Quinoa & Lentils,https://images.eatthismuch.com/img/408102_Shamarie84_8236763d-7e0a-4623-b6ef-3478ee8f2f1b.png,390,6g,64g,"1 serving of italian quinoa & lentils  contains 390 Calories. The macronutrient
  breakdown is 63% carbs, 14% fat, and 23% protein.  This is a good source of protein (41% of your Daily Value), fiber (38% of your Daily Value), and potassium (26% of your Daily Value).",5 minutes,40 minutes,"Directions Heat the olive oil in a large pot or Dutch oven over medium heat. Add the chopped onion and cook for 5 minutes, or until the onion is clear and soft, stirring frequently.Add the garlic and mushrooms. Cook until the mushrooms have released their juices and reduced in size, about 4-5 minutes.Add the lentils, quinoa, salt, thyme, and broth. Bring the mixture to a boil, then reduce heat to low. Cover and simmer for 30 minutes, or until the lentils are tender. If all of the liquid has been absorbed, add a splash of extra broth or water.Add the tomatoes and baby spinach to the pot. Stir until the spinach has wilted completely into the quinoa and lentil mixture. Add a splash of lemon juice, along with black pepper to taste and extra salt as needed.",23,424
